funding,team_experience,market_size,competition,business_model,years_operating,burn_rate,revenue_growth,debt_ratio,failure
5400860,4,5,6,5,12,0.331,0.398,0.981,1
6231888,6,2,5,3,12,0.934,1.311,1.976,1
8730087,2,5,2,8,11,0.82,-0.156,0.504,0
5067099,4,8,6,2,13,0.48,-0.178,1.907,1
1627074,7,8,5,3,12,0.785,1.15,1.393,1
6093632,4,7,5,3,1,0.577,0.12,1.684,1
6038842,2,6,2,4,9,0.71,0.508,0.568,1
8647564,9,8,6,1,6,0.539,1.162,0.669,0
3170923,7,9,7,7,13,0.807,0.572,0.718,1
2707699,9,3,8,6,13,0.809,0.617,0.28,1
2641341,2,5,7,8,12,0.086,0.126,1.953,1
6062957,1,4,3,3,7,0.908,0.454,0.86,1
7254457,9,7,6,5,12,0.386,0.286,0.954,0
7965628,8,4,3,8,0,0.877,0.493,1.822,0
6733364,7,6,9,5,11,0.544,1.407,0.942,0
5501199,7,8,3,8,3,0.464,0.59,0.416,0
4008622,4,7,5,4,13,0.837,0.5,0.34,1
2651739,6,1,6,7,9,0.555,1.038,0.487,0
9600692,1,8,8,1,4,0.707,1.205,1.857,0
4109177,5,7,1,8,9,0.378,0.036,0.034,1
5210791,6,8,5,3,2,0.243,0.385,0.825,0
7750446,2,5,1,2,8,0.304,1.179,0.598,0
9341579,7,6,7,7,5,0.821,0.897,1.5,0
9763962,6,4,5,8,14,0.135,1.224,1.859,0
463861,2,9,9,2,13,0.616,-0.008,0.562,1
3352560,5,4,3,5,0,0.242,0.771,0.295,0
5973757,9,1,3,3,7,0.15,0.335,1.769,0
4124821,8,9,7,5,7,0.11,0.186,0.818,0
5484285,9,5,3,8,5,0.182,1.18,0.925,0
725239,5,5,9,2,11,0.189,1.261,0.791,1
3421831,7,5,1,5,14,0.5,1.114,1.723,1
455688,7,4,7,1,9,0.532,1.35,1.244,1
9494728,5,2,6,2,10,0.858,0.335,1.195,0
8801792,9,5,1,1,3,0.478,0.16,0.403,0
6300830,7,3,7,5,2,0.683,1.299,0.961,0
8253035,1,4,8,5,5,0.545,1.237,0.732,0
1679504,7,6,4,7,13,0.608,1.346,1.247,0
6111646,4,8,3,2,6,0.606,-0.289,0.924,1
3377337,2,9,5,1,7,0.82,0.336,1.768,1
2814090,2,1,8,6,3,0.89,1.223,1.336,1
5541616,2,6,4,8,3,0.345,-0.015,1.896,1
2746849,1,6,9,8,3,0.278,1.458,0.682,1
2343773,2,9,8,9,4,0.282,0.391,0.31,1
7212096,5,5,7,3,8,0.182,1.264,1.695,0
9449991,7,7,9,5,3,0.461,0.888,0.965,0
9553257,4,2,5,3,4,0.79,0.657,0.769,1
3879130,5,9,1,8,10,0.938,0.711,0.906,0
8211439,8,4,5,1,13,0.75,1.233,1.648,0
356074,8,9,5,2,7,0.939,0.531,0.6,1
4967751,1,2,9,9,13,0.669,0.46,0.911,1
2621798,3,7,8,7,7,0.752,0.133,1.664,1
9854426,1,8,2,4,0,0.711,1.061,0.706,0
6358460,5,8,1,1,11,0.657,0.69,0.44,0
3244209,7,4,5,1,3,0.397,0.871,0.592,0
8016962,5,8,4,7,8,0.564,0.961,0.446,0
2994038,7,4,9,5,8,0.662,1.355,1.452,1
5314120,8,6,2,9,5,0.601,1.14,0.381,0
4725773,7,1,7,6,2,0.813,0.281,0.204,1
8226894,7,5,3,2,7,0.695,0.716,1.645,0
9566162,8,6,7,5,2,0.797,0.464,0.881,0
8658807,8,8,7,8,11,0.679,0.25,0.65,0
5380658,3,9,3,5,14,0.592,0.803,1.624,0
6271981,3,3,2,3,6,0.382,0.594,0.776,0
3361434,4,8,9,7,14,0.168,0.07,0.274,1
1017898,6,1,3,8,2,0.126,0.289,1.106,1
476401,2,8,1,6,13,0.875,0.471,1.948,1
2224910,1,4,9,7,1,0.147,0.667,1.664,1
5501407,8,2,7,4,14,0.589,1.418,0.622,0
4048847,9,3,6,2,14,0.187,0.905,1.202,0
9133002,3,8,5,4,10,0.432,0.993,0.421,0
6877206,1,9,5,6,5,0.146,0.914,1.521,1
5009047,1,2,8,2,12,0.292,0.653,1.207,1
960388,4,3,4,8,11,0.768,0.524,0.139,1
3824356,3,5,9,7,9,0.735,1.343,1.969,1
9826985,7,6,8,8,11,0.414,-0.294,0.229,0
7255218,8,4,1,6,13,0.159,0.552,0.652,0
9452169,7,6,3,2,7,0.505,1.429,0.609,0
9096533,6,5,2,2,6,0.762,0.865,1.306,0
2403857,5,8,1,2,13,0.912,0.761,1.572,1
3029861,8,9,2,4,7,0.255,0.198,1.053,1
6682546,7,3,9,5,10,0.442,-0.038,0.319,0
8471820,4,1,3,5,8,0.755,0.025,1.428,0
6789584,4,7,7,6,13,0.455,1.403,0.946,0
5238678,4,6,8,5,13,0.747,0.155,1.938,1
5864167,8,9,7,1,13,0.682,1.181,0.694,0
5471330,2,6,5,2,7,0.474,0.832,0.414,1
7601240,6,6,1,2,2,0.568,0.811,0.813,0
8670932,1,6,2,4,7,0.579,1.293,1.27,0
1439682,4,1,8,8,0,0.819,0.85,0.281,1
6236925,3,4,7,6,12,0.273,1.131,1.469,0
3788831,9,1,4,3,6,0.498,0.898,1.737,1
2525744,2,8,3,4,10,0.052,0.19,1.452,1
1638225,2,6,7,3,2,0.057,0.116,0.646,1
4176359,9,4,3,2,1,0.284,1.336,0.794,0
1603232,8,2,9,7,4,0.677,0.847,1.046,1
3535525,4,1,3,8,11,0.743,1.424,0.562,0
7238619,7,3,3,5,2,0.84,0.514,0.192,0
9762565,6,6,3,2,1,0.65,0.871,1.671,0
808046,4,4,2,4,2,0.239,1.144,1.513,1
8775665,4,2,9,1,4,0.087,0.172,0.275,1
9514266,9,6,2,7,0,0.45,0.354,0.295,0
5666381,3,9,7,1,8,0.607,0.208,1.212,1
1080175,1,3,5,6,0,0.129,0.592,0.915,1
4443373,7,8,4,2,2,0.158,0.775,0.767,0
8851098,1,3,1,4,11,0.121,0.517,0.078,0
3148384,1,2,8,1,8,0.785,0.025,0.176,1
3361927,9,6,4,6,12,0.838,1.353,0.211,0
5926992,7,7,7,2,10,0.648,-0.103,0.929,1
7377047,3,2,4,4,4,0.074,1.16,0.992,0
3635456,4,2,9,7,8,0.168,-0.11,1.135,1
4003001,1,5,7,9,10,0.921,0.712,1.273,1
6819614,6,2,8,2,12,0.354,-0.01,1.391,1
4757736,5,1,5,3,7,0.542,0.177,0.559,1
5319010,7,7,4,4,12,0.248,-0.161,0.703,0
5915402,8,8,9,9,14,0.441,0.89,1.569,0
9524798,9,2,5,9,7,0.475,0.177,0.8,0
7414161,9,8,3,3,1,0.422,0.213,0.313,0
8945116,2,6,1,6,5,0.584,0.722,0.806,0
2500904,5,9,2,9,9,0.395,0.491,0.123,1
5286216,4,1,8,5,4,0.741,1.136,1.055,1
7007151,3,6,3,8,0,0.182,1.406,0.811,0
4081397,3,5,5,7,14,0.782,1.013,1.044,1
2307554,3,4,1,4,10,0.372,1.406,0.08,0
9679762,3,3,2,5,11,0.26,0.668,1.283,0
5227587,3,3,8,1,2,0.674,-0.27,1.68,1
5601262,4,2,8,9,13,0.865,0.031,1.96,0
6195846,5,1,8,8,3,0.451,1.091,1.917,0
8038514,5,4,6,6,8,0.778,1.171,0.829,0
6119381,5,6,9,3,8,0.866,1.114,0.029,0
1122001,2,6,2,7,12,0.612,1.108,0.896,1
1112373,2,3,6,7,2,0.246,1.093,1.424,1
9408748,6,5,6,3,8,0.857,0.884,1.299,0
998422,2,7,2,3,10,0.239,1.106,1.294,1
2427349,1,9,2,9,3,0.899,0.563,1.507,1
1677076,3,7,6,1,6,0.448,0.697,1.59,1
9090122,2,6,1,7,3,0.237,0.638,1.217,0
5336442,9,1,8,3,3,0.09,0.746,0.484,0
602221,1,9,6,5,12,0.435,1.182,0.769,1
1130851,4,6,7,7,1,0.556,1.226,1.977,1
5325149,2,1,2,4,9,0.493,-0.218,0.672,1
8397669,2,7,5,9,14,0.873,0.472,1.835,0
6178042,9,3,2,7,11,0.385,0.723,0.96,0
9465829,5,8,5,4,14,0.089,1.378,1.336,0
8983222,3,6,1,4,11,0.485,1.171,0.845,0
745271,2,7,7,7,8,0.711,0.952,0.281,1
6129065,7,9,9,2,8,0.55,0.667,1.31,1
5086769,5,3,6,6,13,0.714,0.682,1.316,0
1768696,8,2,1,1,0,0.604,0.841,0.942,1
5033876,1,2,3,8,8,0.859,0.98,0.308,0
459126,3,5,6,4,13,0.427,0.871,0.541,1
769873,3,3,4,8,12,0.317,0.735,1.317,1
1818976,8,7,1,8,14,0.148,1.066,0.051,0
481744,6,5,2,6,4,0.71,-0.13,0.646,1
4466955,5,4,2,7,13,0.352,0.447,0.411,0
5453841,2,1,8,6,9,0.917,1.386,1.133,1
6143123,8,1,5,5,1,0.747,0.053,1.419,1
9343125,7,8,1,5,4,0.884,0.217,0.269,0
733209,4,3,5,9,1,0.39,0.706,0.624,1
6914993,4,1,8,6,2,0.329,-0.094,0.551,1
4650823,8,5,9,3,2,0.789,0.225,1.727,1
6973505,8,9,9,3,2,0.603,1.39,1.667,0
2861960,1,8,7,4,7,0.084,0.308,1.071,1
5745208,8,3,3,8,12,0.719,-0.158,0.422,0
2159610,8,7,8,5,5,0.113,0.164,1.981,1
1934652,2,9,9,4,5,0.785,0.722,1.54,1
6613021,4,2,1,9,9,0.087,0.561,1.894,0
4311978,5,7,9,2,2,0.849,1.45,0.17,1
5514524,6,4,5,5,3,0.456,0.818,0.319,0
4619710,2,7,3,6,2,0.583,0.02,0.371,1
3196317,7,3,2,2,4,0.482,1.065,1.508,1
9250411,6,4,3,6,5,0.538,1.129,0.78,0
685025,3,7,3,7,7,0.425,1.202,0.14,0
7738438,7,9,6,7,0,0.469,0.063,1.879,0
3492288,7,5,7,4,8,0.733,-0.177,0.025,1
3987390,7,5,8,7,9,0.254,0.899,1.975,0
2055707,5,8,1,9,8,0.343,0.684,1.804,1
280691,4,7,1,5,2,0.184,1.122,1.643,1
1535736,8,9,2,3,7,0.713,0.928,1.788,0
5572508,3,1,9,8,5,0.444,0.289,1.019,1
2379449,4,4,8,1,12,0.109,0.901,0.462,1
9447116,7,1,3,3,3,0.514,1.37,0.389,0
1682415,4,9,6,9,4,0.806,0.4,0.334,1
1865397,5,8,6,8,11,0.261,1.008,1.274,1
7925494,2,6,5,4,4,0.72,0.299,1.372,1
2918757,6,8,8,1,2,0.502,1.116,0.702,0
7000726,5,3,2,1,2,0.206,1.239,0.748,0
396867,2,8,8,4,12,0.584,0.807,0.446,1
5814539,9,3,9,3,2,0.659,1.138,1.669,0
3142338,8,4,7,1,8,0.172,1.031,1.494,1
6778643,6,3,4,3,2,0.61,0.439,1.15,0
2681105,4,2,6,4,9,0.653,0.923,1.0,1
6285266,5,3,2,6,10,0.78,0.882,1.109,0
4031636,3,1,4,9,6,0.789,-0.279,0.928,1
8232700,8,4,9,8,3,0.605,0.47,1.504,0
5207687,6,1,2,7,8,0.592,0.507,1.58,1
5050679,4,6,2,6,4,0.912,0.027,0.83,1
1549439,7,7,5,9,2,0.341,-0.169,1.355,1
50989,6,8,5,3,12,0.149,0.999,0.209,1
4611382,2,5,3,9,2,0.179,1.454,1.676,0
552051,4,4,6,3,12,0.531,1.036,0.472,1
9033033,4,9,7,4,5,0.559,0.85,0.437,0
7466240,9,8,1,4,1,0.939,0.284,1.66,0
7314586,7,1,5,8,6,0.862,1.131,0.859,0
4852536,6,4,6,5,5,0.61,0.33,0.112,0
5323140,8,2,4,1,10,0.475,-0.044,1.579,1
7442134,2,7,4,2,3,0.239,-0.194,0.459,1
604459,8,9,2,8,5,0.306,-0.294,0.372,1
2223179,8,1,2,7,4,0.292,0.361,0.948,1
6169974,3,2,3,5,11,0.291,1.446,1.937,0
1756050,1,4,6,1,2,0.837,-0.048,0.037,1
1621879,2,3,3,4,7,0.657,1.083,1.567,1
6188236,1,1,5,7,4,0.248,-0.257,0.536,1
7639983,9,9,4,5,7,0.574,0.104,0.772,0
7314065,4,4,4,6,5,0.537,1.135,1.079,0
5212249,3,2,2,9,9,0.188,-0.153,0.199,1
5824927,9,9,3,8,14,0.591,0.229,1.977,0
7874568,4,1,3,7,6,0.483,1.22,0.92,0
3934090,2,3,7,1,14,0.473,0.933,0.117,1
6721483,7,7,7,2,11,0.451,1.318,0.646,0
7112319,1,7,5,3,9,0.42,-0.183,1.079,1
901748,8,1,8,9,0,0.629,-0.144,1.027,1
974831,3,8,2,5,11,0.393,-0.154,1.983,1
303451,9,9,5,6,2,0.348,-0.153,0.228,1
9638676,3,9,3,5,0,0.356,-0.212,1.179,0
9040479,3,8,4,6,3,0.143,0.717,0.996,0
1076558,9,8,5,6,9,0.72,-0.118,1.16,1
2994746,4,5,4,9,3,0.107,1.112,0.351,1
2545852,7,8,6,3,12,0.563,0.905,0.117,0
9693290,5,7,7,4,5,0.226,0.339,1.918,0
135688,5,8,9,8,3,0.147,1.095,0.712,0
8021838,2,8,4,3,6,0.451,0.968,1.477,0
5935092,6,7,4,4,10,0.927,0.892,1.404,0
7130684,7,7,8,2,10,0.299,0.818,0.099,0
3242222,9,1,5,9,0,0.443,1.451,0.391,0
3890772,3,6,9,9,14,0.887,1.268,1.213,1
8567925,2,3,1,7,9,0.096,0.509,1.371,0
9059142,3,1,1,7,13,0.594,1.288,0.284,0
8332582,1,5,5,1,3,0.278,0.163,1.141,0
9014120,5,7,4,6,0,0.897,0.322,1.583,0
2440491,8,7,3,4,13,0.248,0.517,0.951,0
9751921,7,6,3,1,1,0.548,0.731,1.193,0
4784108,4,3,5,1,13,0.427,1.438,0.195,0
2338981,3,7,7,4,1,0.694,-0.049,0.165,1
1325972,2,7,9,2,9,0.147,-0.113,0.652,1
6423669,6,1,9,8,12,0.74,0.572,0.625,0
6984504,9,6,7,4,11,0.877,-0.039,1.509,0
2260346,5,4,9,8,12,0.77,0.591,1.816,1
4262744,2,1,6,1,13,0.3,0.607,1.719,1
3207690,4,9,4,4,12,0.146,0.726,0.042,0
2896702,5,4,7,4,0,0.742,1.371,1.969,1
1591857,8,4,4,7,9,0.76,0.81,1.068,1
4753157,6,8,6,3,5,0.335,1.141,0.447,0
1259204,8,2,3,6,4,0.484,1.231,0.869,0
3576592,9,6,5,6,14,0.66,0.825,1.253,0
2993551,4,6,6,6,10,0.729,0.399,1.017,1
6111101,5,9,9,1,7,0.742,0.803,1.859,0
939677,4,8,8,5,0,0.608,0.651,0.936,1
6960346,2,9,5,9,3,0.589,1.201,0.801,0
8096587,5,3,3,3,12,0.258,0.544,1.293,0
4144483,2,1,1,4,4,0.845,-0.29,0.145,1
6929824,7,7,8,4,8,0.414,0.902,0.909,0
5727890,6,3,3,9,12,0.867,-0.149,0.387,1
6388652,8,4,9,9,8,0.593,0.705,1.995,0
6744021,2,1,6,4,13,0.489,0.909,0.913,0
622666,7,9,8,9,3,0.311,0.209,1.897,1
5706058,7,9,4,5,2,0.161,1.35,1.806,0
6710216,5,5,6,2,1,0.089,-0.254,1.916,0
1566302,5,1,7,9,8,0.577,0.216,1.751,1
641851,2,9,3,5,6,0.058,0.406,0.178,1
1125514,7,5,1,4,0,0.897,1.137,0.602,0
2520530,7,5,6,1,13,0.61,-0.24,0.55,1
3703967,9,6,9,6,3,0.309,0.272,1.492,0
6465850,8,5,4,5,11,0.287,-0.242,1.612,0
9097734,9,7,7,4,0,0.507,0.423,0.963,0
388477,2,1,2,9,10,0.676,0.21,0.825,1
1325448,9,9,5,2,10,0.331,0.028,0.74,1
3314456,2,2,6,2,13,0.508,0.718,0.088,1
3702185,1,6,1,2,8,0.091,-0.245,1.951,1
5770474,3,1,4,7,9,0.749,1.148,1.792,0
2243455,7,3,9,2,9,0.146,0.537,1.67,1
7090584,7,8,8,5,12,0.81,1.373,0.666,0
6168108,9,5,7,2,8,0.288,-0.298,0.983,1
2647979,1,3,9,7,7,0.457,0.636,0.411,1
1604591,3,4,8,8,6,0.243,-0.113,0.53,1
6569186,3,8,8,2,11,0.077,1.416,1.737,0
6559297,5,2,7,3,11,0.706,1.146,1.957,1
9728996,5,9,8,1,1,0.69,0.628,0.203,0
7193051,3,5,7,3,0,0.149,0.833,1.851,1
246282,1,3,6,1,2,0.68,1.304,1.829,1
816863,6,1,3,2,8,0.685,0.331,1.916,1
1945151,8,8,5,9,2,0.224,1.474,0.549,0
7906995,8,7,8,8,2,0.28,0.23,0.365,0
7503789,4,9,4,5,13,0.143,0.642,1.532,0
9180371,6,6,7,5,9,0.413,0.306,1.332,0
1688392,6,3,2,1,6,0.724,0.359,0.654,1
3626518,2,9,2,4,12,0.472,-0.131,1.385,1
3307564,4,8,6,6,6,0.456,0.12,1.336,1
9825851,8,5,4,3,13,0.635,0.71,0.371,0
5431025,8,9,7,5,10,0.84,1.008,1.898,0
8253683,4,7,5,4,11,0.917,1.408,0.053,0
3625615,1,7,7,6,7,0.614,0.325,0.5,1
9211162,8,2,5,1,0,0.11,1.408,1.864,0
2839140,8,3,3,8,5,0.151,-0.137,1.593,1
6688469,1,3,9,2,13,0.813,0.598,1.589,1
8187822,2,2,4,5,6,0.159,1.415,1.884,0
2329499,8,5,3,2,10,0.906,-0.101,1.516,1
158282,6,5,2,7,7,0.626,-0.103,0.856,1
586474,7,2,5,5,11,0.826,1.063,0.238,0
5825980,6,8,8,6,11,0.919,0.875,1.141,0
3639115,6,3,6,2,14,0.73,0.721,0.281,1
4495085,7,3,8,8,5,0.724,0.361,0.905,1
4549774,4,7,8,5,13,0.576,1.105,1.511,1
4242983,1,9,7,6,4,0.692,1.141,0.473,0
8153497,9,9,4,7,2,0.361,0.401,0.164,0
6641728,1,3,2,1,13,0.663,-0.245,1.463,1
5753276,2,1,9,3,7,0.125,-0.15,0.034,1
8345173,4,7,9,2,5,0.206,1.286,0.461,0
4398933,7,8,6,6,14,0.078,0.816,0.657,0
1829412,1,1,5,1,13,0.121,1.151,0.533,1
3567419,6,4,6,9,14,0.561,0.746,0.808,1
2051788,8,7,7,2,2,0.699,1.344,0.708,0
1629437,5,3,8,6,6,0.747,0.775,0.898,1
1579093,1,6,2,9,11,0.054,-0.094,1.253,1
7968635,7,7,9,5,3,0.276,1.096,1.59,0
4578735,8,5,2,4,11,0.212,0.415,1.578,0
2753395,5,7,9,4,9,0.117,0.061,1.217,1
2695418,7,1,7,2,2,0.348,1.051,1.474,1
1243688,5,9,2,2,11,0.49,1.266,1.272,0
124751,6,8,5,5,5,0.553,1.037,1.897,1
1101135,1,8,2,4,8,0.846,0.5,1.62,1
1888153,6,4,6,5,0,0.158,0.411,0.438,1
8777547,4,7,1,3,7,0.599,0.766,1.95,0
5676600,8,5,2,3,6,0.398,-0.067,0.258,1
2552024,9,4,7,7,0,0.544,-0.233,0.818,1
744828,1,4,9,7,8,0.067,1.428,0.645,1
6877776,5,1,8,1,6,0.108,1.241,1.213,1
6206116,6,3,4,6,4,0.486,0.765,1.649,0
3933186,1,3,6,1,10,0.882,0.328,0.267,1
7552733,6,3,5,4,6,0.664,0.72,1.758,1
3265830,6,8,9,6,2,0.907,0.689,1.151,1
3168177,5,9,2,5,0,0.922,0.75,1.033,0
9636667,6,3,1,4,10,0.353,0.389,1.261,0
718834,7,5,6,2,10,0.785,0.828,0.006,1
7770908,8,2,2,8,4,0.059,1.089,1.42,0
2331681,2,2,3,4,14,0.253,1.327,0.871,1
3809778,1,7,6,3,9,0.362,0.66,1.796,1
8430610,6,3,5,4,9,0.932,-0.068,1.465,1
5706445,5,2,7,4,6,0.163,0.504,0.839,0
9130196,5,4,6,1,14,0.242,1.071,0.082,0
4029947,6,1,5,1,12,0.132,1.46,0.667,0
8278363,6,8,3,4,14,0.3,-0.299,0.035,0
464957,8,7,5,2,5,0.261,1.076,1.863,1
255811,1,8,2,6,9,0.462,0.027,0.559,1
6750189,8,4,1,1,6,0.474,0.337,0.772,0
6683843,4,4,8,3,1,0.614,1.156,0.108,0
6254774,4,6,9,5,3,0.137,-0.054,1.295,1
2601661,3,6,8,9,11,0.78,0.912,1.22,0
2718703,5,2,8,2,3,0.928,0.915,1.898,1
5748762,4,2,5,9,0,0.502,1.296,0.43,0
220875,6,2,9,6,6,0.548,1.383,1.611,1
6570089,6,9,8,1,12,0.906,1.085,0.051,0
2850684,8,5,5,7,8,0.523,0.685,1.622,1
2056378,3,9,8,6,8,0.115,0.297,1.916,1
394578,9,6,1,2,11,0.705,-0.053,0.567,1
9485278,5,3,9,7,1,0.623,1.142,1.37,0
2608519,3,7,1,3,10,0.461,0.818,1.423,1
1833612,3,1,8,8,14,0.243,1.224,0.238,1
3522020,8,5,6,9,13,0.135,0.141,1.047,0
4013207,7,6,6,8,4,0.477,-0.077,1.94,1
6936541,4,7,3,6,3,0.179,1.124,1.218,0
2627724,7,6,8,8,5,0.685,1.025,1.949,1
7886145,6,9,5,8,6,0.699,-0.009,0.375,0
2076661,4,9,7,1,2,0.896,-0.164,0.06,1
1172998,8,3,4,7,8,0.113,0.315,1.741,1
5244462,8,9,6,3,0,0.542,0.407,0.111,0
1097861,1,9,2,9,13,0.093,1.048,0.817,1
1682462,3,2,3,9,3,0.662,-0.12,1.727,1
2157475,9,5,5,2,13,0.05,0.186,1.322,0
4025253,6,8,8,5,1,0.439,0.92,1.643,0
7550812,2,7,2,1,2,0.642,1.28,1.916,0
7152629,3,9,5,3,6,0.814,1.454,1.421,0
5742344,7,1,1,2,9,0.563,1.437,1.73,0
6587893,1,4,5,3,12,0.299,0.47,1.083,1
6954217,2,3,2,8,1,0.459,0.031,1.882,1
8254020,3,5,7,5,12,0.689,0.831,0.136,0
5488685,3,9,9,4,14,0.058,0.362,1.098,0
8630237,8,1,3,3,2,0.554,-0.095,0.264,0
5882208,9,1,1,3,5,0.943,1.37,0.785,0
4177881,2,8,4,1,2,0.92,-0.189,0.207,1
9738373,7,5,6,3,4,0.337,0.514,1.338,0
4559756,4,9,4,8,12,0.708,0.151,0.313,0
1336684,8,3,1,8,5,0.302,1.173,0.896,0
1797821,3,7,9,4,1,0.153,1.399,0.653,0
678048,5,9,5,9,0,0.406,0.836,1.649,1
5280996,8,5,3,1,6,0.65,-0.237,0.099,1
2423449,7,5,1,2,1,0.607,1.45,1.244,1
7660864,5,8,7,9,9,0.742,1.176,1.884,0
4235314,3,2,6,8,13,0.207,1.062,0.21,0
536916,9,9,8,7,8,0.79,0.614,1.228,0
1709665,7,8,2,7,9,0.291,0.007,1.88,0
8183203,6,4,8,2,14,0.301,0.792,1.223,0
3407364,9,5,4,9,2,0.446,1.332,0.409,0
4100942,1,6,6,6,10,0.809,0.824,1.007,1
9531171,3,9,5,5,2,0.415,0.022,1.509,0
9846539,4,8,9,2,3,0.433,-0.012,1.26,0
1424910,8,7,7,5,9,0.921,1.137,1.592,1
5040865,9,2,1,6,6,0.466,0.601,0.641,0
3176089,1,8,4,6,5,0.563,0.813,1.862,1
898113,5,1,3,8,7,0.917,1.416,1.656,1
2223097,2,5,4,1,5,0.08,1.11,0.298,0
4801819,9,1,1,8,1,0.765,1.058,1.768,0
624648,7,7,7,9,1,0.726,1.207,1.124,1
1761054,6,5,2,1,9,0.188,0.411,1.351,1
7080247,9,1,1,2,9,0.715,1.357,0.747,0
6992837,2,7,9,8,2,0.22,0.03,0.291,0
5825449,6,9,2,1,3,0.584,-0.24,0.091,0
1359127,1,6,3,2,1,0.806,0.903,0.24,1
7664535,2,7,1,5,1,0.505,-0.022,1.994,1
8418942,4,6,2,7,2,0.089,1.279,0.693,0
7028982,4,3,5,6,0,0.563,0.643,1.745,1
6673381,2,4,1,4,13,0.084,-0.162,0.518,1
9020750,8,3,2,2,6,0.841,-0.239,1.617,1
9161275,3,8,3,1,3,0.264,0.148,0.494,0
8524926,3,7,8,7,2,0.568,0.151,1.789,0
7825463,1,6,6,3,5,0.769,1.274,0.346,0
2155607,9,9,5,1,1,0.678,0.734,0.252,0
8392691,6,5,6,3,10,0.946,0.695,0.7,0
5662977,4,1,8,7,9,0.931,0.568,0.399,0
7782885,2,3,4,3,10,0.67,0.221,0.892,1
3364241,6,2,3,1,7,0.154,-0.165,0.531,1
5326423,6,3,1,4,7,0.068,0.174,1.229,1
1792438,4,6,8,8,10,0.714,0.7,1.158,1
8414777,6,3,5,7,7,0.338,0.617,1.756,0
9651315,2,6,5,9,4,0.466,-0.208,1.299,0
8959715,8,2,1,8,7,0.209,1.5,1.478,0
6268337,9,3,9,8,3,0.311,0.849,0.643,0
8590270,5,4,4,5,11,0.165,0.158,1.747,0
8810356,8,6,1,6,8,0.193,0.016,1.738,0
2179227,5,8,1,3,13,0.893,0.322,1.614,1
8690188,2,3,3,4,0,0.836,0.929,1.026,0
71449,9,1,4,8,3,0.39,1.223,1.684,1
1288001,5,7,4,7,1,0.088,1.065,1.462,0
6306056,7,3,3,8,4,0.421,0.095,0.039,0
5563945,8,9,7,4,13,0.196,0.481,0.88,0
8407718,3,9,5,6,1,0.534,-0.29,1.369,1
9254667,5,4,8,4,12,0.748,1.168,0.493,0
1968881,4,1,8,1,3,0.606,0.118,0.68,1
7494663,6,4,5,5,7,0.546,0.409,1.525,1
3901196,3,1,5,7,6,0.636,1.387,1.458,1
3621123,4,7,8,7,12,0.914,0.869,1.085,0
9424831,7,5,6,6,11,0.112,0.847,0.006,0
7707473,7,9,7,1,8,0.248,-0.13,1.386,1
576658,2,3,1,2,13,0.293,1.374,0.619,1
2685163,6,9,3,6,0,0.798,0.766,1.658,0
5694526,3,1,8,5,3,0.144,1.354,0.533,1
8392599,5,2,8,8,12,0.584,0.669,0.195,0
