sector,stage,country,funding,team_size,team_experience,market_size_bn,burn_rate,revenue_growth,customer_count,nps_score,patent_count,competition_level,business_model_score,months_since_founding,runway_months,success
E-Commerce,Seed,Singapore,1946743,116,8,413.54,681142,3.199,3540,58,23,5,5,71,11,1
HealthTech,Seed,Germany,1786050,130,3,49.45,484579,4.225,12328,-13,28,2,4,47,29,1
CleanTech,Seed,Brazil,790477,57,7,352.12,788263,4.644,34247,75,13,4,5,72,5,1
E-Commerce,Pre-Seed,Brazil,333817,123,8,169.3,609255,4.857,6677,17,27,7,4,88,7,0
Gaming,Series C,Singapore,164859942,107,3,155.34,543784,3.862,41616,5,3,6,5,19,18,1
CleanTech,Seed,Australia,753017,131,2,466.31,754227,0.526,49741,43,17,7,7,81,28,0
FinTech,Series A,Germany,3651824,82,13,124.61,704598,4.236,25947,9,9,5,8,41,12,1
EdTech,Pre-Seed,Israel,383245,121,13,321.44,56025,1.88,45534,-12,17,2,2,42,12,0
Gaming,Seed,Canada,2172341,53,8,137.93,270281,3.596,13520,11,11,8,4,30,29,0
FinTech,Seed,Germany,1936803,92,3,253.82,332030,2.563,44711,-10,18,2,8,119,11,0
BioTech,Series A,Australia,11069552,138,7,393.25,426779,4.109,22805,65,7,8,7,4,6,1
Gaming,Pre-Seed,UK,424842,23,12,440.92,366211,2.013,30444,13,0,7,9,84,21,1
BioTech,Seed,USA,2970856,35,1,419.43,317633,0.121,20143,-3,13,3,5,29,10,0
E-Commerce,Series C,Germany,147911619,111,14,291.3,42664,2.695,10292,-2,22,4,6,23,32,1
FinTech,Seed,Germany,2877942,50,12,124.78,776159,0.691,42844,33,5,7,8,89,33,0
EdTech,Seed,USA,2720929,130,6,330.79,153492,4.821,16017,61,13,4,5,9,17,1
CleanTech,Pre-Seed,Canada,127360,74,12,355.1,474133,2.54,25323,16,1,9,9,63,3,1
Cybersecurity,Series C,Germany,68125271,85,12,5.84,235648,2.679,41423,61,8,7,4,54,18,1
HealthTech,Pre-Seed,USA,381495,54,13,219.89,652150,4.518,41713,-9,28,1,8,50,10,1
SaaS,Series A,USA,8095670,101,9,421.71,501127,3.048,22320,-17,11,1,3,21,8,1
EdTech,Series A,USA,5230653,125,12,245.05,613318,1.374,8774,22,4,4,5,75,34,1
FinTech,Pre-Seed,France,354094,46,3,156.03,73910,1.34,2205,6,1,9,8,14,33,0
Cybersecurity,Series A,Australia,3584942,138,14,435.96,762648,2.408,12342,30,18,4,7,112,10,1
EdTech,Pre-Seed,France,419566,106,7,78.36,756253,4.306,4027,-16,6,5,1,96,18,0
FinTech,Pre-Seed,UK,422078,147,13,103.62,328063,3.933,16327,-15,6,1,4,73,25,1
AI/ML,Series A,Israel,13605735,107,6,343.84,746648,4.806,21200,56,9,2,2,4,2,1
AI/ML,Series B,France,23355425,44,8,176.54,506142,0.174,7188,66,16,4,2,19,19,0
BioTech,Seed,France,2175190,135,3,356.65,407348,1.195,2808,35,25,4,7,77,10,1
EdTech,Seed,Australia,848848,49,3,79.27,399297,0.217,13851,68,13,6,3,116,3,0
AI/ML,Pre-Seed,Israel,474315,127,4,126.51,51598,3.706,15354,47,26,6,3,78,19,0
FinTech,Pre-Seed,Singapore,482601,8,3,78.75,497028,0.532,15058,75,10,8,6,5,26,0
BioTech,Pre-Seed,USA,216991,17,9,476.48,508515,0.319,14620,23,27,9,6,23,25,0
FinTech,Pre-Seed,Brazil,146952,130,11,203.0,347044,2.721,31230,-6,19,1,1,80,17,0
BioTech,Seed,Israel,2930412,116,4,168.94,36296,1.94,36681,69,5,1,1,81,10,0
EdTech,Seed,UK,965806,38,6,7.59,159138,3.519,17803,21,7,6,6,53,11,0
Cybersecurity,Seed,Canada,1376058,126,8,77.13,169964,2.332,2167,-10,18,4,7,108,11,1
CleanTech,Pre-Seed,UK,483603,82,11,210.86,609865,2.012,2144,52,29,4,9,107,12,1
Gaming,Seed,USA,2219759,63,13,34.72,739950,2.013,2167,-10,18,1,4,12,8,1
Cybersecurity,Series A,Israel,13531775,73,8,255.61,611461,4.334,42520,45,23,9,6,118,24,1
E-Commerce,Pre-Seed,UK,152877,126,5,227.78,479509,1.855,42136,6,23,3,3,57,14,0
FinTech,Series B,UK,43834717,67,5,383.7,74771,1.534,25844,37,23,5,4,38,23,1
E-Commerce,Series B,Singapore,44754050,31,6,330.07,510010,1.56,28163,69,16,1,9,53,17,1
Cybersecurity,Pre-Seed,Singapore,147493,21,10,223.25,109074,0.822,22920,51,23,8,1,76,5,0
BioTech,Series A,Israel,9962544,83,7,112.72,533136,4.276,17550,0,23,3,5,19,3,1
Gaming,Seed,USA,1424501,108,13,363.57,430331,0.562,36343,0,17,1,7,110,9,1
Gaming,Seed,France,2045329,133,13,354.08,691398,4.525,18254,51,11,6,3,91,20,1
SaaS,Seed,India,891670,38,10,77.07,570910,1.274,49311,-20,8,1,2,63,20,0
Gaming,Seed,Germany,931739,133,14,457.42,308030,4.477,40011,37,22,3,2,93,19,1
CleanTech,Seed,Brazil,2194512,78,7,32.67,150973,3.912,20147,-8,23,5,1,99,21,0
Gaming,Seed,Germany,1111796,90,13,27.99,92910,2.826,12926,52,15,4,5,77,16,1
Cybersecurity,Seed,Australia,1239127,147,4,94.08,190934,3.281,33823,71,17,7,3,15,33,0
SaaS,Series A,Singapore,4350339,89,6,454.78,391136,1.494,49485,-15,15,6,7,67,5,1
Cybersecurity,Seed,Israel,540633,34,7,260.24,523271,2.786,23991,66,15,3,1,97,24,0
Cybersecurity,Series A,Germany,12645910,59,5,394.08,515042,1.32,41851,79,3,8,9,99,15,1
HealthTech,Pre-Seed,USA,53317,29,5,114.31,173878,1.892,27563,37,22,8,2,87,26,0
SaaS,Pre-Seed,Brazil,357124,36,2,245.37,683019,3.776,30688,-4,21,2,8,82,25,0
Cybersecurity,Series A,Germany,13266774,126,7,179.47,164525,1.068,29023,52,6,7,4,105,28,0
HealthTech,Seed,Brazil,1211323,139,12,414.0,473609,4.162,34130,-9,0,1,6,89,33,1
HealthTech,Pre-Seed,Canada,490847,66,6,11.79,797868,1.755,925,65,23,2,9,76,18,0
SaaS,Pre-Seed,USA,230388,43,11,122.3,462029,2.567,16321,31,28,8,7,50,18,1
E-Commerce,Pre-Seed,India,417508,86,1,76.71,651075,4.698,10769,55,22,1,8,99,33,1
BioTech,Series C,UK,61811984,138,4,429.66,624773,3.343,36748,49,28,2,7,88,27,1
CleanTech,Seed,Brazil,2372204,112,3,234.04,711346,3.157,40028,52,19,1,2,107,15,0
BioTech,Series B,USA,49480541,16,12,202.41,374699,3.5,16151,31,0,5,9,72,13,1
Gaming,Seed,Brazil,1760945,70,3,225.02,718537,4.574,10597,16,7,7,1,49,34,1
CleanTech,Seed,Brazil,1208669,106,7,485.98,412521,1.092,34187,-18,25,6,2,102,4,1
Gaming,Seed,France,2624195,65,11,425.21,42646,2.989,43835,77,22,6,3,113,35,1
Cybersecurity,Seed,France,533635,42,12,353.33,86126,1.882,59,-13,7,6,3,12,19,0
FinTech,Pre-Seed,USA,260387,72,10,145.59,524116,-0.138,35292,-11,9,8,4,59,31,0
SaaS,Series B,France,34374098,57,4,83.0,652210,0.452,20181,26,0,5,5,82,25,0
CleanTech,Series A,Australia,12395499,26,12,460.76,265217,1.49,27235,20,20,7,6,15,12,1
CleanTech,Seed,India,1227467,106,8,211.83,394382,2.738,28672,43,24,3,1,117,12,0
Cybersecurity,Series C,Israel,104981748,135,11,139.74,602947,4.384,1578,21,20,9,8,63,25,1
E-Commerce,Series A,USA,5998851,120,9,235.72,649629,3.914,45366,22,28,3,6,60,33,1
HealthTech,Series A,USA,6661306,10,3,458.96,538446,2.677,47295,-12,13,6,9,86,28,1
Cybersecurity,Pre-Seed,Australia,89236,61,5,193.84,84236,0.184,16047,-7,13,3,5,70,9,0
AI/ML,Seed,Singapore,1814870,126,4,281.54,86067,1.287,32160,70,9,1,7,86,14,1
HealthTech,Seed,Singapore,1054280,50,14,401.58,693098,1.707,33475,75,27,1,4,88,3,1
SaaS,Pre-Seed,France,422684,52,12,213.85,19879,3.033,24549,-17,18,3,6,31,5,1
HealthTech,Pre-Seed,Israel,165140,71,10,117.15,146615,0.138,5277,-19,24,4,6,18,26,1
E-Commerce,Series A,France,7370297,38,6,497.27,646572,2.557,1780,76,28,2,4,109,18,1
HealthTech,Pre-Seed,Canada,171225,32,11,478.31,188996,4.488,46579,64,15,9,6,65,21,1
SaaS,Seed,Canada,1884410,63,10,421.82,445564,3.468,45913,-20,8,8,8,49,16,1
E-Commerce,Series B,UK,25695807,94,4,344.34,356261,3.945,14662,54,19,3,5,45,23,1
BioTech,Series B,Canada,29174898,15,8,147.79,220190,3.345,31516,44,15,7,2,25,29,1
CleanTech,Pre-Seed,Singapore,336100,80,3,456.75,578176,0.874,32161,25,19,4,9,32,10,1
CleanTech,Series B,India,27646791,9,11,138.14,539087,0.375,44499,38,26,5,4,59,5,1
Gaming,Pre-Seed,Canada,108560,37,5,400.5,493843,4.113,31886,54,7,4,4,32,11,0
BioTech,Pre-Seed,France,422454,49,13,459.17,759130,3.417,8800,-14,6,9,7,109,29,1
BioTech,Seed,Brazil,1224045,86,1,301.7,384673,2.79,49460,45,10,7,6,69,27,1
HealthTech,Seed,USA,1545533,29,13,401.63,523264,0.784,5439,-6,20,4,4,58,34,1
CleanTech,Seed,India,1785844,52,6,395.95,100141,2.937,4307,51,5,8,6,26,14,1
SaaS,Seed,India,979280,105,11,96.98,387157,-0.037,2364,26,14,2,3,115,10,0
EdTech,Pre-Seed,France,313312,102,5,334.13,303812,0.418,16568,69,18,7,7,103,11,0
EdTech,Pre-Seed,USA,357268,30,8,47.19,145183,1.422,38092,19,13,1,6,79,11,0
E-Commerce,Seed,Singapore,1863517,128,9,254.17,427902,2.107,5483,21,14,8,3,108,35,0
CleanTech,Series A,India,4485619,83,8,81.54,213623,0.427,245,30,5,6,1,98,19,0
CleanTech,Seed,UK,2338524,11,8,208.47,26490,0.424,8430,14,28,5,5,103,24,0
EdTech,Pre-Seed,France,200823,107,12,416.57,438410,3.575,8183,20,23,9,2,78,1,0
CleanTech,Seed,India,622026,2,14,493.59,784426,2.763,38692,64,9,9,7,10,12,1
HealthTech,Pre-Seed,Israel,80270,40,13,159.32,456732,2.575,30086,36,13,3,7,90,14,1
AI/ML,Pre-Seed,USA,453602,22,3,266.21,651507,2.153,49671,17,15,9,4,46,3,0
FinTech,Series A,Canada,12670115,66,4,255.89,491946,4.878,32726,51,12,9,6,82,32,1
BioTech,Pre-Seed,India,245889,16,11,477.22,578392,0.059,13901,75,10,2,1,98,16,0
Gaming,Pre-Seed,France,115184,133,4,239.55,539604,0.739,3907,-13,24,5,2,36,10,0
E-Commerce,Series A,Canada,13993292,62,14,349.7,48130,3.167,33044,53,2,2,6,37,17,1
AI/ML,Seed,UK,1235053,149,11,460.93,473445,0.509,28604,42,7,1,2,98,4,1
EdTech,Seed,Canada,1062167,139,5,187.0,379438,2.865,37869,66,27,7,4,52,15,0
BioTech,Pre-Seed,Israel,361741,88,13,451.11,385581,2.752,14537,-17,2,4,4,19,33,1
CleanTech,Pre-Seed,Singapore,482348,106,9,458.77,155250,4.849,12501,27,1,5,9,4,10,1
Gaming,Pre-Seed,India,53626,35,12,465.37,192235,4.394,37371,31,20,4,7,92,7,1
CleanTech,Pre-Seed,Germany,135936,125,9,135.59,597453,4.717,49103,17,13,6,7,56,33,1
SaaS,Series A,Germany,12932579,111,10,200.48,414696,0.391,46154,73,19,2,1,46,17,0
SaaS,Series A,Canada,4807737,34,13,435.26,730799,4.314,36821,66,28,8,5,83,12,1
Gaming,Series A,Australia,6751531,99,12,179.9,447090,0.471,23196,-16,20,4,3,104,17,0
Gaming,Series A,USA,13693897,62,14,300.33,769893,3.091,6073,64,21,8,3,51,16,1
EdTech,Seed,Germany,2127008,11,1,59.47,601063,3.544,49293,49,14,3,6,4,14,1
Gaming,Series A,Australia,3144454,85,14,28.61,409782,0.636,10561,60,2,5,4,74,3,0
HealthTech,Seed,Germany,936442,66,14,206.29,357455,3.09,18101,68,0,3,8,112,30,1
CleanTech,Seed,Australia,754043,78,8,289.67,505733,0.073,45516,3,14,7,4,72,35,1
AI/ML,Seed,USA,1143198,2,14,196.65,587437,1.325,31426,65,19,3,8,11,26,1
Cybersecurity,Pre-Seed,Brazil,146055,134,1,289.08,344705,4.59,29341,56,21,8,4,3,12,0
Gaming,Seed,Germany,1936909,81,2,257.78,422639,0.693,7313,-4,1,9,3,71,31,0
E-Commerce,Series C,Israel,88478806,16,7,343.01,624998,0.139,30773,57,17,2,5,105,17,0
SaaS,Pre-Seed,India,446659,29,8,324.94,102199,2.107,28003,77,0,3,5,11,8,0
HealthTech,Pre-Seed,Australia,333539,24,1,212.41,175024,4.223,26420,69,8,7,1,16,19,0
BioTech,Seed,India,2345733,110,3,212.79,561614,0.199,5714,62,2,5,8,29,26,0
Cybersecurity,Series A,France,8800629,108,7,70.82,41139,1.649,49551,5,1,7,8,11,4,0
AI/ML,Seed,France,610084,146,13,256.86,727463,4.479,27139,-18,3,2,8,38,15,1
Cybersecurity,Series A,USA,12402999,114,9,293.8,515950,0.414,26098,-19,15,4,4,95,14,1
Gaming,Pre-Seed,Australia,395876,99,8,238.51,201929,1.415,42294,71,21,1,9,86,30,1
EdTech,Seed,UK,973006,142,8,163.19,345782,3.848,13582,-19,0,5,3,81,24,1
SaaS,Seed,France,1890277,143,9,360.96,344796,2.625,43583,1,8,8,7,102,34,1
SaaS,Series A,USA,10149148,140,10,37.79,547225,4.128,13760,50,24,1,6,5,19,1
BioTech,Seed,France,2232626,29,3,457.26,268006,0.38,6255,-17,7,7,9,119,3,1
EdTech,Pre-Seed,France,313551,43,8,10.81,519603,4.587,16622,17,5,7,4,25,4,0
CleanTech,Pre-Seed,UK,123568,100,1,481.19,342187,4.662,35983,63,19,7,4,112,11,1
FinTech,Pre-Seed,Germany,108560,62,8,231.45,680095,0.608,40309,49,17,1,6,75,13,0
HealthTech,Seed,Canada,1697442,124,13,206.63,69919,-0.024,29715,52,15,3,8,32,18,1
SaaS,Pre-Seed,Brazil,200953,65,7,128.59,354199,4.947,36415,31,7,2,3,21,19,0
E-Commerce,Seed,France,2290228,32,13,5.53,470777,2.308,21792,10,22,5,8,104,33,1
SaaS,Seed,France,2823176,82,8,137.76,440838,2.775,42576,5,27,2,8,69,3,1
Cybersecurity,Pre-Seed,Israel,230775,11,1,55.15,310279,3.003,22724,15,29,5,7,52,35,1
SaaS,Pre-Seed,Brazil,487570,9,6,330.08,701018,3.906,3652,5,3,5,7,50,1,1
SaaS,Pre-Seed,UK,141288,60,7,159.88,301840,4.022,26297,7,2,4,5,5,35,0
FinTech,Series B,India,23860286,31,14,383.71,144845,0.808,32422,-16,14,7,2,100,25,1
FinTech,Pre-Seed,Australia,431164,146,11,103.85,34956,1.031,14028,53,5,6,2,68,13,0
AI/ML,Series A,France,14371493,21,5,450.17,273672,4.36,13803,-3,0,2,8,29,4,1
CleanTech,Series A,Canada,9017004,49,14,261.73,399925,4.061,6307,-6,17,4,6,89,6,1
E-Commerce,Seed,Australia,514390,131,5,57.7,96491,3.012,31325,36,22,7,8,108,11,0
SaaS,Series B,Brazil,31995763,38,7,200.72,54588,4.972,31574,76,10,9,3,98,1,0
SaaS,Seed,Australia,1051595,130,11,103.78,211657,3.623,19262,-16,2,9,1,113,8,0
HealthTech,Series C,Germany,155085036,133,3,100.24,109152,0.922,1535,16,29,3,6,101,34,0
FinTech,Pre-Seed,France,275121,101,6,253.43,662160,4.203,14932,65,12,1,2,42,9,1
E-Commerce,Pre-Seed,Australia,301063,55,7,336.11,423727,1.957,15749,65,16,9,9,20,21,1
BioTech,Series A,India,10364534,123,1,455.85,348037,-0.012,8727,1,17,8,5,29,20,0
AI/ML,Series B,India,45955478,26,12,251.33,26167,1.471,17332,31,25,7,5,13,1,1
CleanTech,Series A,France,12811141,132,2,482.94,721863,3.77,29534,-6,25,6,8,41,35,1
EdTech,Pre-Seed,Singapore,219330,10,12,470.85,120782,4.793,10834,-4,13,7,6,21,28,1
CleanTech,Pre-Seed,India,238788,35,4,432.6,491005,1.236,20325,30,24,9,3,91,7,0
Cybersecurity,Series B,Australia,29783984,44,13,250.24,140775,1.082,9213,24,6,6,9,9,9,1
SaaS,Pre-Seed,USA,262566,75,8,70.88,44889,2.731,48205,42,6,3,4,97,1,0
AI/ML,Series A,India,8212360,95,11,109.34,317822,4.021,1403,7,13,3,4,59,34,1
Cybersecurity,Series A,Brazil,12782096,23,13,324.01,236406,3.682,7506,38,25,4,2,4,34,1
E-Commerce,Seed,Singapore,1428252,71,14,211.17,594550,2.712,29659,65,23,8,3,40,17,0
EdTech,Seed,Australia,1087073,131,10,73.83,145753,3.083,7591,0,14,9,4,7,32,0
FinTech,Seed,UK,1100338,95,6,239.76,614579,1.059,12996,21,11,8,7,80,2,1
AI/ML,Pre-Seed,Israel,72738,33,1,9.21,600296,2.049,37828,60,11,2,3,84,25,0
AI/ML,Series B,UK,48628663,107,10,367.08,781835,1.128,47830,48,7,4,8,38,26,1
SaaS,Seed,Germany,2670758,145,5,37.25,239489,4.399,34370,61,15,4,8,70,26,1
Gaming,Series B,Israel,47992373,2,7,314.74,416906,0.385,13472,-4,8,2,2,90,21,0
AI/ML,Pre-Seed,Germany,353806,73,13,396.61,278617,3.335,29098,47,1,8,4,79,18,1
HealthTech,Series C,Israel,149842089,51,6,66.76,706658,1.153,2196,-14,13,3,8,87,29,0
EdTech,Seed,Israel,2350131,142,13,259.56,421885,2.273,11091,68,23,2,1,59,24,1
EdTech,Pre-Seed,USA,206688,16,13,389.64,635244,1.357,15040,19,23,7,1,99,28,0
HealthTech,Pre-Seed,Canada,323326,54,12,130.69,204499,1.481,49262,19,28,1,4,22,12,0
BioTech,Series A,Brazil,6113534,9,9,81.88,533764,1.154,48784,22,15,6,2,7,11,0
HealthTech,Series A,UK,6600957,75,8,168.74,203073,3.715,6023,52,4,3,1,26,27,1
HealthTech,Series A,India,9453859,47,4,277.57,727084,1.702,20543,62,4,3,8,101,23,1
EdTech,Pre-Seed,Australia,227170,70,13,287.85,391150,3.577,28377,30,19,5,2,32,33,1
CleanTech,Pre-Seed,Singapore,76128,115,11,65.87,282976,2.172,36635,52,29,3,4,30,16,0
EdTech,Seed,Brazil,1580132,148,12,229.06,499114,2.646,42337,2,20,4,3,55,28,1
Gaming,Seed,Germany,1807046,124,5,134.51,155780,2.625,40409,74,17,3,2,53,28,1
SaaS,Seed,USA,2225812,140,7,421.09,461816,4.874,5004,11,17,7,8,111,6,1
Cybersecurity,Series C,Germany,128783221,118,8,157.13,354891,1.709,9963,10,4,3,3,9,29,1
CleanTech,Series C,Canada,193123536,44,5,419.43,725422,0.88,13796,-4,10,4,9,44,34,1
FinTech,Series B,Singapore,47708134,21,9,214.57,337572,4.541,40972,37,12,2,5,37,3,1
Cybersecurity,Series A,USA,8124524,149,14,363.43,21002,0.709,7077,65,2,2,9,96,6,1
SaaS,Seed,Germany,683683,22,10,255.28,42556,4.139,29848,14,16,9,3,36,13,0
Gaming,Seed,Canada,1863864,83,12,311.17,602251,0.581,12526,9,24,1,5,105,15,1
Gaming,Seed,Australia,1032125,58,4,197.98,504361,3.225,3261,43,17,1,6,75,6,0
FinTech,Series A,Australia,12617611,75,4,384.22,231746,0.583,17046,32,13,1,9,119,33,1
CleanTech,Pre-Seed,Germany,228371,99,13,212.88,16563,4.6,13397,30,11,3,8,78,12,1
BioTech,Seed,Brazil,2460220,111,8,229.0,220995,2.738,25269,16,13,2,2,56,13,0
HealthTech,Pre-Seed,Singapore,428824,116,1,259.08,549442,1.512,36158,69,25,3,2,31,33,0
CleanTech,Seed,France,1272291,43,8,416.0,558482,0.53,25757,-15,17,5,5,12,28,1
BioTech,Series B,Brazil,47083981,69,5,329.86,730380,1.73,15299,13,29,9,5,29,5,1
Gaming,Series A,Australia,13536772,71,13,174.91,712221,3.466,1902,35,19,2,5,85,25,1
EdTech,Pre-Seed,Singapore,180193,79,14,335.32,163520,1.802,49480,75,1,1,4,15,17,1
SaaS,Series C,Canada,170514473,91,11,321.39,499676,1.08,42399,4,6,6,8,44,19,1
FinTech,Series A,USA,11606776,112,1,465.54,432618,2.803,48330,-8,14,3,5,39,35,1
SaaS,Pre-Seed,Israel,198178,113,4,420.79,276496,1.973,46308,42,27,7,1,63,34,0
E-Commerce,Pre-Seed,Germany,108123,104,2,323.9,272328,0.662,3846,45,9,6,5,98,6,0
E-Commerce,Pre-Seed,UK,161825,146,4,171.08,286463,0.601,12359,-16,14,7,1,81,19,0
CleanTech,Pre-Seed,Singapore,58720,20,8,389.9,130497,3.479,49376,54,16,5,4,23,1,1
Gaming,Series C,India,145142231,71,5,287.82,161521,4.868,2520,-10,10,1,1,5,7,1
Gaming,Seed,Canada,2822018,64,1,492.64,328477,1.012,40832,67,1,3,6,10,34,1
HealthTech,Series B,France,36910144,76,7,124.13,544714,3.82,20098,57,26,3,6,72,19,1
HealthTech,Seed,Israel,1699438,105,1,40.29,459794,0.256,39451,73,20,7,1,95,33,0
HealthTech,Pre-Seed,India,108655,76,9,35.41,723569,1.784,49962,23,17,3,8,85,26,1
EdTech,Seed,France,1215003,129,3,320.2,126775,2.435,23136,78,24,5,4,19,27,0
Cybersecurity,Pre-Seed,UK,143448,57,12,469.66,43368,1.197,35885,64,3,4,2,12,26,1
AI/ML,Seed,Australia,2775598,23,3,1.46,776913,2.554,30720,48,8,4,1,99,35,0
Cybersecurity,Series B,Brazil,19892571,90,6,363.02,113841,4.39,21157,-19,26,7,3,15,20,1
SaaS,Seed,Germany,796956,20,10,328.7,500846,4.711,48372,19,27,1,7,93,24,1
Cybersecurity,Seed,USA,1336002,27,6,366.29,388888,0.323,19674,16,16,7,8,108,21,1
EdTech,Pre-Seed,France,363045,24,13,178.03,221293,1.214,32357,28,16,8,5,14,26,0
SaaS,Pre-Seed,Israel,110186,48,11,410.34,790371,4.891,12578,77,16,3,7,68,20,1
Cybersecurity,Pre-Seed,Singapore,172066,14,11,22.83,18724,1.206,2251,54,29,3,2,76,6,0
EdTech,Seed,Australia,890508,67,6,377.84,408300,3.402,13513,15,15,4,4,87,3,0
AI/ML,Pre-Seed,Singapore,231323,145,13,133.9,700170,1.118,37429,54,19,6,6,25,10,0
Cybersecurity,Seed,Israel,2269107,74,1,238.68,88872,1.653,27105,52,24,7,5,67,12,0
EdTech,Seed,Singapore,536160,78,5,411.41,604621,0.795,46871,49,7,1,6,99,33,0
HealthTech,Seed,France,519156,32,12,136.04,734203,4.253,20990,13,22,4,2,54,22,0
Gaming,Pre-Seed,Canada,126208,86,6,93.01,515241,4.39,25499,37,14,7,7,63,16,1
HealthTech,Pre-Seed,Singapore,199001,60,8,340.82,239176,1.344,6421,16,0,2,8,28,17,0
Gaming,Series B,Brazil,27540282,42,13,266.93,536884,4.083,24591,75,18,1,9,17,10,1
FinTech,Series A,UK,8474106,113,1,257.44,97844,1.663,26979,39,24,1,6,24,12,0
FinTech,Seed,USA,2314630,97,5,128.76,782427,0.315,20835,-9,14,6,7,91,19,0
FinTech,Pre-Seed,France,245413,123,3,17.92,99751,3.742,37693,11,8,5,1,67,23,0
AI/ML,Series C,India,84436241,106,2,205.43,139817,2.902,12202,60,4,1,9,28,10,1
HealthTech,Series A,Israel,7499311,75,11,53.73,480547,1.227,35414,-17,15,3,6,23,10,1
Gaming,Seed,Australia,1237197,133,8,453.04,614808,1.116,25666,12,27,7,4,107,10,0
EdTech,Series B,France,21356895,100,7,21.1,68326,4.873,19290,22,12,9,9,26,30,1
SaaS,Pre-Seed,Canada,188266,127,10,216.11,611958,4.285,18130,-12,15,9,1,105,4,1
EdTech,Seed,Australia,1145649,139,7,26.6,533292,4.011,37077,77,21,6,2,18,1,0
SaaS,Seed,Brazil,712986,76,5,48.22,676142,0.466,49600,30,10,3,3,34,19,0
E-Commerce,Pre-Seed,Israel,247286,15,12,329.6,183074,3.727,19396,73,12,1,1,18,5,1
EdTech,Series C,Australia,78804060,39,13,323.73,752547,0.916,17952,-1,5,3,2,79,30,1
Cybersecurity,Series A,Singapore,11418385,141,9,17.01,34022,4.882,27122,18,25,2,2,44,26,1
Cybersecurity,Seed,France,920661,46,5,1.07,94458,0.071,29381,2,19,5,7,34,34,0
CleanTech,Pre-Seed,UK,248110,146,2,39.87,158317,1.631,45435,20,16,8,6,52,2,0
